timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
6.00;251.06;veh52;:1530465765_0_0;0.04;0.00;2.60;veh_passenger;12103.09;4743.45
6.00;310.04;veh53;-322978479#4_1;6.48;0.00;1.38;veh_passenger;6608.08;1790.23
6.00;243.45;veh54;206452728#0_1;5.10;0.00;7.51;veh_passenger;4603.13;4750.47
6.00;138.43;veh55;531560560_0;5.10;0.00;0.00;veh_passenger;3676.64;2777.83
6.00;221.85;veh56;22131938_0;5.10;0.00;9.50;veh_passenger;7114.23;1778.38
6.00;26.96;veh57;625454209_0;5.10;0.00;0.00;veh_passenger;2715.19;1992.85
6.00;266.34;veh58;158869966#5_1;5.10;0.00;0.00;veh_passenger;6284.36;2322.35
6.00;248.69;veh59;28422800#0_0;5.10;0.00;0.00;veh_passenger;5507.36;2050.91
6.00;70.06;veh60;464964284#0_0;5.10;0.00;0.00;veh_passenger;8211.79;3665.72
6.00;255.28;veh62;-113278685#16_0;5.10;0.00;0.00;veh_passenger;5378.32;2063.04
6.00;340.07;veh63;-144844733_0;5.10;0.00;9.99;veh_passenger;12025.01;3615.06
6.00;75.76;veh64;531678859#0_0;5.10;0.00;0.00;veh_passenger;5113.07;3317.13
6.00;219.53;veh7;322784638_1;29.25;0.00;8.71;veh_passenger;6469.73;2152.12
6.00;175.02;veh8;136792915_0;46.54;0.00;8.36;veh_passenger;9845.83;4807.63
6.00;256.54;veh9;47402191#0_5;90.84;0.00;17.36;veh_passenger;4985.09;4755.22
7.00;217.84;veh1;144844721_0;45.81;0.00;11.06;veh_passenger;12023.11;3827.62
7.00;271.30;veh10;47402191#0_5;74.60;0.00;13.50;veh_passenger;5000.64;4757.97
7.00;167.19;veh11;18906037#0_0;54.59;0.00;10.01;veh_passenger;8383.44;5507.19
7.00;244.18;veh12;75032476#0_0;50.32;0.00;8.74;veh_passenger;12335.04;3755.81
7.00;255.47;veh13;-25964861#0_0;36.27;0.00;10.40;veh_passenger;5408.35;2654.46
7.00;177.66;veh14;48486472#1_0;35.94;0.00;10.40;veh_passenger;10089.97;4415.73
7.00;271.30;veh15;47402191#0_5;53.65;0.00;13.80;veh_passenger;5021.09;4757.50
7.00;154.01;veh16;205380286_0;2.07;0.00;8.58;veh_passenger;3568.11;4385.70
7.00;85.77;veh17;:cluster_312265732_4581780347_4_0;8.55;0.00;15.76;veh_passenger;5228.36;1660.87
7.00;355.85;veh18;48101521_0;34.12;0.00;9.01;veh_passenger;7571.48;4572.52
7.00;18.29;veh19;166750678#0_3;6.31;0.00;9.69;veh_passenger;7751.09;2624.72
7.00;200.19;veh2;453093499#1_0;49.08;0.00;10.19;veh_passenger;7557.03;2454.18
