,timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
28634,1848.0,215.97,veh426,18908030_0,268.66,0.0,17.49,veh_passenger,254.6,1983.76
28649,1849.0,218.32,veh426,18908030_0,285.85,0.0,17.19,veh_passenger,244.05,1970.25
38543,2411.0,198.23,veh564,325213134_3,16.81,0.0,21.13,veh_passenger,464.69,2422.67
38558,2412.0,196.99,veh564,325213134_3,37.92,0.0,21.11,veh_passenger,458.43,2402.51
38573,2413.0,195.27,veh564,325213134_3,59.6,0.0,21.67,veh_passenger,452.29,2381.74
38588,2414.0,195.27,veh564,325213134_3,81.92,0.0,22.32,veh_passenger,446.41,2360.22
38603,2415.0,195.27,veh564,325213134_3,103.11,0.0,21.19,veh_passenger,440.83,2339.78
38618,2416.0,195.27,veh564,325213134_3,124.95,0.0,21.84,veh_passenger,435.08,2318.72
38633,2417.0,195.27,veh564,325213134_3,146.73,0.0,21.78,veh_passenger,429.34,2297.72
38647,2418.0,195.27,veh564,325213134_3,169.07,0.0,22.34,veh_passenger,423.46,2276.17
38661,2419.0,195.27,veh564,325213134_3,190.62,0.0,21.55,veh_passenger,417.78,2255.39
38675,2420.0,195.27,veh564,325213134_3,212.78,0.0,22.16,veh_passenger,411.95,2234.02
38798,2429.0,203.4,veh565,18908030_0,14.55,0.0,14.99,veh_passenger,388.35,2198.14
38811,2430.0,203.4,veh565,18908030_0,29.89,0.0,15.34,veh_passenger,382.27,2184.11
38825,2431.0,203.4,veh565,18908030_0,44.54,0.0,14.65,veh_passenger,376.47,2170.7
38839,2432.0,208.2,veh565,18908030_0,59.38,0.0,14.84,veh_passenger,369.48,2157.66
38852,2433.0,208.54,veh565,18908030_0,73.88,0.0,14.5,veh_passenger,362.63,2144.93
38865,2434.0,209.69,veh565,18908030_0,89.12,0.0,15.24,veh_passenger,355.1,2131.73
38879,2435.0,209.69,veh565,18908030_0,103.96,0.0,14.83,veh_passenger,347.77,2118.88
38893,2436.0,209.93,veh565,18908030_0,119.0,0.0,15.04,veh_passenger,340.33,2105.86
38907,2437.0,213.29,veh565,18908030_0,134.07,0.0,15.07,veh_passenger,332.08,2093.3
38921,2438.0,213.29,veh565,18908030_0,148.5,0.0,14.43,veh_passenger,324.18,2081.27
